model,scope,seed,MAP@R,Recall@1,Recall@5,Recall@10,MRR
tfidf_token,full,42,0.20595690497178915,0.8331666666666667,0.9325,0.9558333333333333,0.877189705385661
tfidf_token,full,2026,0.2054709612499636,0.8315,0.93275,0.955,0.8761834370727262
tfidf_token,full,3407,0.2056446088933814,0.8323333333333334,0.9319166666666666,0.9555,0.8768073866910371
tfidf_token_normid,full_normid,42,0.3609097230104333,0.9029166666666667,0.96375,0.9771666666666666,0.9296875771217007
tfidf_token_normid,full_normid,2026,0.3598492966654339,0.9025833333333333,0.964,0.9768333333333333,0.9295561880026402
tfidf_token_normid,full_normid,3407,0.3591958509118087,0.9018333333333334,0.9640833333333333,0.9768333333333333,0.9290552383882301
ast_proxy_only,full,42,0.29604047744160855,0.9363333333333334,0.9774166666666667,0.9841666666666666,0.9549859676511034
ast_proxy_only,full,2026,0.29521027719132104,0.9354166666666667,0.9771666666666666,0.9836666666666667,0.9542633808807044
ast_proxy_only,full,3407,0.2957260248842734,0.9354166666666667,0.9775,0.9840833333333333,0.9544762478672807
gac_tfidf_structure,full_w05,42,0.24996816049144657,0.8875,0.9553333333333334,0.9718333333333333,0.9179345656882464
gac_tfidf_structure,full_w05,2026,0.24949181668290757,0.8855833333333333,0.9551666666666667,0.9729166666666667,0.917314781580805
gac_tfidf_structure,full_w05,3407,0.24955554680151515,0.8866666666666667,0.9545,0.9730833333333333,0.9176497489635055
gac_tfidf_structure,full_w09,42,0.3180809269524794,0.92275,0.9761666666666666,0.9861666666666666,0.9463347347312683
gac_tfidf_structure,full_w09,2026,0.3175486577617611,0.9223333333333333,0.9766666666666667,0.9861666666666666,0.9464629373563045
gac_tfidf_structure,full_w09,3407,0.3176233395274893,0.92375,0.97625,0.9865,0.9470647622559976
gac_tfidf_structure_normid,robust_normid,42,0.45964800097851033,0.9598333333333333,0.98775,0.9926666666666667,0.9718402747244904
gac_tfidf_structure_normid,robust_normid,2026,0.4588825214858417,0.95975,0.98775,0.9926666666666667,0.9718915052891294
gac_tfidf_structure_normid,robust_normid,3407,0.45845476262141505,0.96025,0.98775,0.9926666666666667,0.9721983651321355
